variant,scenario,lots,modes,feasible,failed_checks,c0,opex,vpub,cash,anchor_cash,commercial_cash,kcash,anchor_kcash,opex_gap,t_rep,readiness,resilience,scale,territorial_archetypes,capability_groups,public_core_lots,note
FINAL,BASE,FIRE+ENV+AGRI+TRANS,AABB,True,,1140.0,313.0,1289.0,370.5,190.0,180.5,1.18370607028754,0.6070287539936102,-57.5,0.73,4.525,4.05,4.675,4,2,2,"итоговый портфель команды (подтверждён участником 3 12.09 11:02): два лота ЧС/экологии в A как public core, два экономических лота в B; cash покрывает OPEX полностью"
FINAL,STRESS,FIRE+ENV+AGRI+TRANS,AABB,True,,1140.0,313.0,1289.0,370.5,190.0,180.5,1.18370607028754,0.6070287539936102,-57.5,0.73,4.525,4.05,4.675,4,2,2,"итоговый портфель команды (подтверждён участником 3 12.09 11:02): два лота ЧС/экологии в A как public core, два экономических лота в B; cash покрывает OPEX полностью"
V1,BASE,FIRE+AGRI+TRANS+ENV,AAAA,True,,1165.5,320.25,1370.0,288.75,205.0,83.75,0.9016393442622951,0.6401249024199844,31.5,0.73,4.525,4.05,4.675,4,2,4,пожары Сибири + три экономических лота; проходит STRESS при любых режимах
V1,STRESS,FIRE+AGRI+TRANS+ENV,AAAA,True,,1165.5,320.25,1370.0,288.75,205.0,83.75,0.9016393442622951,0.6401249024199844,31.5,0.73,4.525,4.05,4.675,4,2,4,пожары Сибири + три экономических лота; проходит STRESS при любых режимах
V2,BASE,FLOOD+AGRI+TRANS+ENV,AABA,True,,1174.0,322.0,1370.4,335.0,206.0,129.0,1.0403726708074534,0.639751552795031,-13.0,0.715,4.45,4.225,4.6,4,2,3,паводки Дальнего Востока вместо пожаров; выше денежный поток
V2,STRESS,FLOOD+AGRI+TRANS+ENV,AABA,True,,1174.0,322.0,1370.4,335.0,206.0,129.0,1.0403726708074534,0.639751552795031,-13.0,0.715,4.45,4.225,4.6,4,2,3,паводки Дальнего Востока вместо пожаров; выше денежный поток
V3,BASE,FIRE+FLOOD+TRANS+ENV,AAAA,True,,1249.5,336.0,1740.0,325.0,260.0,65.0,0.9672619047619048,0.7738095238095238,11.0,0.7,4.375,4.075,4.525,4,2,4,"максимум общественной ценности (два лота ЧС), не проходит STRESS"
V3,STRESS,FIRE+FLOOD+TRANS+ENV,AAAA,False,c0_limit,1249.5,336.0,1740.0,325.0,260.0,65.0,0.9672619047619048,0.7738095238095238,11.0,0.7,4.375,4.075,4.525,4,2,4,"максимум общественной ценности (два лота ЧС), не проходит STRESS"
V4,BASE,AGRI+TRANS+ENV+SSA,AAAA,True,,1176.0,330.75,1150.0,295.0,195.0,100.0,0.891912320483749,0.5895691609977324,35.75,0.72,4.35,3.95,4.775,3,3,4,"с федеральным лотом; ценность ниже, федеральный соплательщик"
V4,STRESS,AGRI+TRANS+ENV+SSA,AAAA,True,,1176.0,330.75,1150.0,295.0,195.0,100.0,0.891912320483749,0.5895691609977324,35.75,0.72,4.35,3.95,4.775,3,3,4,"с федеральным лотом; ценность ниже, федеральный соплательщик"
V5,BASE,FIRE+AGRI+INFRA+TRANS,ABAB,True,,1171.5,318.25,1229.0,375.5,190.0,185.5,1.1798900235663787,0.5970149253731343,-57.25,0.725,4.449999999999999,4.0,4.65,4,2,2,"лучшее покрытие OPEX деньгами, ровно 2 public core"
V5,STRESS,FIRE+AGRI+INFRA+TRANS,ABAB,True,,1171.5,318.25,1229.0,375.5,190.0,185.5,1.1798900235663787,0.5970149253731343,-57.25,0.725,4.449999999999999,4.0,4.65,4,2,2,"лучшее покрытие OPEX деньгами, ровно 2 public core"
V6,BASE,AGRI+INFRA+TRANS+ENV,AAAA,True,,1155.0,315.0,1110.0,286.25,185.0,101.25,0.9087301587301587,0.5873015873015873,28.75,0.7375,4.475,4.175,4.7,4,2,4,"самый дешёвый, без лотов ЧС"
V6,STRESS,AGRI+INFRA+TRANS+ENV,AAAA,True,,1155.0,315.0,1110.0,286.25,185.0,101.25,0.9087301587301587,0.5873015873015873,28.75,0.7375,4.475,4.175,4.7,4,2,4,"самый дешёвый, без лотов ЧС"
V7,BASE,FIRE+AGRI+TRANS+ENV,ACCA,True,,1129.8,305.75,1199.0,398.0,163.75,234.25,1.3017170891251022,0.53556827473426,-92.25,0.73,4.525,4.05,4.675,4,2,2,"лидер модели без S2 (первый из 143 допустимых в STRESS по полному перебору); S2 не проходит: якорные платежи покрывают 0,54 OPEX"
V7,STRESS,FIRE+AGRI+TRANS+ENV,ACCA,True,,1129.8,305.75,1199.0,398.0,163.75,234.25,1.3017170891251022,0.53556827473426,-92.25,0.73,4.525,4.05,4.675,4,2,2,"лидер модели без S2 (первый из 143 допустимых в STRESS по полному перебору); S2 не проходит: якорные платежи покрывают 0,54 OPEX"
V8,BASE,FIRE+AGRI+TRANS+ENV,ACBA,True,,1134.8,309.25,1243.0,390.0,179.5,210.5,1.2611156022635408,0.5804365400161682,-80.75,0.73,4.525,4.05,4.675,4,2,2,"второй по модели без S2; S2 не проходит: якорные платежи покрывают 0,58 OPEX"
V8,STRESS,FIRE+AGRI+TRANS+ENV,ACBA,True,,1134.8,309.25,1243.0,390.0,179.5,210.5,1.2611156022635408,0.5804365400161682,-80.75,0.73,4.525,4.05,4.675,4,2,2,"второй по модели без S2; S2 не проходит: якорные платежи покрывают 0,58 OPEX"
