variant,feasible,score,rank,vpub,c0,kcash,readiness,resilience,scale,margin:STRESS:c0_limit,z_vpub,z_c0,z_kcash,z_readiness,z_resilience,z_scale,z_margin:STRESS:c0_limit
FIRE:A|AGRI:C|TRANS:C|ENV:A,True,0.7366264486599828,1,1199.0,1129.8,1.3017170891251022,4.525,4.05,4.675,50.200000000000045,0.53550135501355,0.8875000000000008,0.9532662069653772,1.0,0.6111111111111113,0.4999999999999978,0.8875000000000008
FIRE:A|AGRI:C|TRANS:B|ENV:A,True,0.7365515359865104,2,1243.0,1134.8,1.2611156022635408,4.525,4.05,4.675,45.200000000000045,0.6547425474254741,0.7982142857142865,0.8630939281279035,1.0,0.6111111111111113,0.4999999999999978,0.7982142857142865
FIRE:A|AGRI:B|TRANS:B|ENV:A,True,0.7249476749408865,3,1289.0,1140.0,1.18370607028754,4.525,4.05,4.675,40.0,0.7794037940379402,0.7053571428571428,0.6911742660273846,1.0,0.6111111111111113,0.4999999999999978,0.7053571428571429
FIRE:A|AGRI:B|TRANS:C|ENV:A,True,0.7245670796032156,4,1245.0,1135.0,1.2229402261712439,4.525,4.05,4.675,45.0,0.6601626016260161,0.7946428571428572,0.7783098247905695,1.0,0.6111111111111113,0.4999999999999978,0.7946428571428571
FIRE:A|AGRI:C|TRANS:A|ENV:B,True,0.7160923375410314,5,1217.8,1133.3,1.2411003236245954,4.525,4.05,4.675,46.700000000000045,0.5864498644986448,0.8250000000000008,0.818641780535511,1.0,0.6111111111111113,0.4999999999999978,0.8250000000000008
FIRE:A|AGRI:B|TRANS:A|ENV:B,True,0.7045478125327918,6,1263.8,1138.5,1.163868904876099,4.525,4.05,4.675,41.5,0.7111111111111108,0.7321428571428572,0.6471176920175543,1.0,0.6111111111111113,0.4999999999999978,0.7321428571428571
FIRE:A|AGRI:C|TRANS:A|ENV:C,True,0.6898177769773924,7,1145.8,1127.7,1.2628992628992628,4.525,4.05,4.675,52.299999999999955,0.39132791327913263,0.9249999999999992,0.867055279216945,1.0,0.6111111111111113,0.4999999999999978,0.9249999999999992
FIRE:A|AGRI:A|TRANS:B|ENV:B,True,0.688302635188405,8,1265.6,1139.0,1.1174121405750799,4.525,4.05,4.675,41.0,0.7159891598915985,0.7232142857142857,0.54394136454162,1.0,0.6111111111111113,0.4999999999999978,0.7232142857142857
FIRE:A|AGRI:A|TRANS:C|ENV:B,True,0.6876722909871477,9,1221.6,1134.0,1.1558966074313408,4.525,4.05,4.675,46.0,0.5967479674796744,0.8125,0.6294119308808949,1.0,0.6111111111111113,0.4999999999999978,0.8125
FIRE:A|AGRI:B|TRANS:A|ENV:C,True,0.6778728801477947,10,1191.8,1132.9,1.1844660194174756,4.525,4.05,4.675,47.09999999999991,0.5159891598915987,0.8321428571428555,0.6928620452232677,1.0,0.6111111111111113,0.4999999999999978,0.8321428571428555
FIRE:A|AGRI:C|TRANS:A|ENV:A,True,0.6722914672313113,11,1282.6,1147.3,1.1390887290167866,4.525,4.05,4.675,32.700000000000045,0.7620596205962056,0.5750000000000008,0.5920831329422557,1.0,0.6111111111111113,0.4999999999999978,0.5750000000000008
FIRE:B|AGRI:C|TRANS:A|ENV:A,True,0.667806450090107,12,1181.8,1131.3,1.1572123176661264,4.525,4.05,4.675,48.700000000000045,0.48888888888888865,0.8607142857142865,0.6323340058917174,1.0,0.6111111111111113,0.4999999999999978,0.8607142857142865
FIRE:A|AGRI:B|TRANS:A|ENV:A,True,0.6614544352374874,13,1328.6,1152.5,1.0639810426540284,4.525,4.05,4.675,27.5,0.8867208672086716,0.4821428571428571,0.4252756645204033,1.0,0.6111111111111113,0.4999999999999978,0.48214285714285715
FIRE:A|AGRI:A|TRANS:B|ENV:C,True,0.6614344866435037,14,1193.6,1133.4,1.137429264349232,4.525,4.05,4.675,46.59999999999991,0.5208672086720864,0.8232142857142841,0.5883976100146378,1.0,0.6111111111111113,0.4999999999999978,0.8232142857142841
FIRE:A|AGRI:A|TRANS:C|ENV:C,True,0.6610377212564381,15,1149.6,1128.4,1.1766148814390842,4.525,4.05,4.675,51.59999999999991,0.4016260162601623,0.9124999999999984,0.6754253684485253,1.0,0.6111111111111113,0.4999999999999978,0.9124999999999984
FIRE:B|AGRI:B|TRANS:A|ENV:A,True,0.6565563488339835,16,1227.8,1136.5,1.0808646917534028,4.525,4.05,4.675,43.5,0.6135501355013547,0.7678571428571428,0.46277274238786903,1.0,0.6111111111111113,0.4999999999999978,0.7678571428571429
FLOOD:A|AGRI:C|TRANS:B|ENV:A,True,0.6454382789089723,17,1283.0,1155.8,1.2798092209856915,4.45,4.225,4.6,24.200000000000045,0.7631436314363141,0.42321428571428654,0.9046107869967112,0.6249999999999994,1.0,0.12499999999999722,0.42321428571428654
FIRE:A|AGRI:A|TRANS:B|ENV:A,True,0.6454187472703269,18,1330.4,1153.0,1.0181531176006313,4.525,4.05,4.675,27.0,0.89159891598916,0.4732142857142857,0.3234959328926426,1.0,0.6111111111111113,0.4999999999999978,0.4732142857142857
FLOOD:A|AGRI:C|TRANS:C|ENV:A,True,0.6453549461847652,19,1239.0,1150.8,1.319935691318328,4.45,4.225,4.6,29.200000000000045,0.6439024390243901,0.5125000000000008,0.9937280965163204,0.6249999999999994,1.0,0.12499999999999722,0.5125000000000008
FIRE:A|AGRI:A|TRANS:C|ENV:A,True,0.6442654627811795,20,1286.4,1148.0,1.0550678371907423,4.525,4.05,4.675,32.0,0.7723577235772359,0.5625,0.40548023064598426,1.0,0.6111111111111113,0.4999999999999978,0.5625
FIRE:B|AGRI:A|TRANS:B|ENV:A,True,0.6403085305649582,21,1229.6,1137.0,1.0344,4.525,4.05,4.675,43.0,0.6184281842818424,0.7589285714285714,0.35957880874767667,1.0,0.6111111111111113,0.4999999999999978,0.7589285714285714
FIRE:B|AGRI:A|TRANS:C|ENV:A,True,0.6393856942947157,22,1185.6,1132.0,1.0720064724919094,4.525,4.05,4.675,48.0,0.4991869918699184,0.8482142857142857,0.44309942796038476,1.0,0.6111111111111113,0.4999999999999978,0.8482142857142857
