change,description,lots,modes,delta_c0,delta_opex,delta_vpub,delta_cash,c0,opex,vpub,cash,anchor_cash,commercial_cash,kcash,anchor_kcash,opex_gap,t_rep,readiness,resilience,scale,territorial_archetypes,capability_groups,public_core_lots,feasible_BASE,feasible_STRESS
lot,TRANS/B → FLOOD/A,FIRE+ENV+AGRI+FLOOD,AABA,107.0,24.5,419.5999999999999,-6.25,1247.0,337.5,1708.6,364.25,239.0,125.25,1.0792592592592594,0.7081481481481482,-26.75,0.6925,4.325,4.0,4.55,4,2,3,True,False
lot,AGRI/B → FLOOD/A,FIRE+ENV+FLOOD+TRANS,AAAB,97.0,19.5,411.4000000000001,-11.75,1237.0,332.5,1700.4,358.75,251.0,107.75,1.0789473684210527,0.7548872180451128,-26.25,0.7,4.375,4.075,4.525,4,2,3,True,False
lot,TRANS/B → FLOOD/B,FIRE+ENV+AGRI+FLOOD,AABB,90.0,20.0,311.5999999999999,-3.0,1230.0,333.0,1600.6,367.5,222.0,145.5,1.1036036036036037,0.6666666666666666,-34.5,0.6925,4.325,4.0,4.55,4,2,2,True,False
lot,AGRI/B → FLOOD/B,FIRE+ENV+FLOOD+TRANS,AABB,80.0,15.0,303.39999999999986,-8.5,1220.0,328.0,1592.3999999999999,362.0,234.0,128.0,1.103658536585366,0.7134146341463414,-34.0,0.7,4.375,4.075,4.525,4,2,2,True,False
lot,ENV/A → FLOOD/A,FIRE+FLOOD+AGRI+TRANS,AABB,63.0,15.75,240.0,20.0,1203.0,328.75,1529.0,390.5,220.0,170.5,1.187832699619772,0.6692015209125475,-61.75,0.7025,4.425,4.05,4.55,4,2,2,True,False
lot,TRANS/B → FLOOD/C,FIRE+ENV+AGRI+FLOOD,AABC,83.20000000000005,15.5,191.5999999999999,-21.5,1223.2,328.5,1480.6,349.0,192.25,156.75,1.0624048706240488,0.5852359208523592,-20.5,0.6925,4.325,4.0,4.55,4,2,2,True,False
lot,AGRI/B → FLOOD/C,FIRE+ENV+FLOOD+TRANS,AACB,73.20000000000005,10.5,183.4000000000001,-27.0,1213.2,323.5,1472.4,343.5,204.25,139.25,1.061823802163833,0.6313755795981453,-20.0,0.7,4.375,4.075,4.525,4,2,2,True,False
lot,TRANS/B → SSA/A,FIRE+ENV+AGRI+SSA,AABA,96.5,29.75,159.5999999999999,-12.5,1236.5,342.75,1448.6,358.0,219.0,139.0,1.0444930707512765,0.6389496717724289,-15.25,0.6975,4.225,3.725,4.725,3,3,3,True,False
lot,AGRI/B → SSA/A,FIRE+ENV+SSA+TRANS,AAAB,86.5,24.75,151.4000000000001,-18.0,1226.5,337.75,1440.4,352.5,231.0,121.5,1.0436713545521836,0.6839378238341969,-14.75,0.7050000000000001,4.275,3.8000000000000003,4.7,3,3,3,True,False
lot,TRANS/B → INFRA/A,FIRE+ENV+AGRI+INFRA,AABA,75.5,14.0,119.59999999999991,-21.25,1215.5,327.0,1408.6,349.25,209.0,140.25,1.0680428134556574,0.6391437308868502,-22.25,0.715,4.35,3.95,4.65,4,2,3,True,False
lot,AGRI/B → INFRA/A,FIRE+ENV+INFRA+TRANS,AAAB,65.5,9.0,111.40000000000009,-26.75,1205.5,322.0,1400.4,343.75,221.0,122.75,1.0675465838509317,0.6863354037267081,-21.75,0.7225,4.4,4.025,4.625,4,2,3,True,False
lot,TRANS/B → SSA/B,FIRE+ENV+AGRI+SSA,AABB,80.0,25.0,98.40000000000009,19.5,1220.0,338.0,1387.4,390.0,206.0,184.0,1.1538461538461537,0.6094674556213018,-52.0,0.6975,4.225,3.725,4.725,3,3,2,True,False
lot,AGRI/B → SSA/B,FIRE+ENV+SSA+TRANS,AABB,70.0,20.0,90.20000000000005,14.0,1210.0,333.0,1379.2,384.5,218.0,166.5,1.1546546546546546,0.6546546546546547,-51.5,0.7050000000000001,4.275,3.8000000000000003,4.7,3,3,2,True,False
lot,TRANS/B → INFRA/B,FIRE+ENV+AGRI+INFRA,AABB,60.0,10.0,65.59999999999991,15.0,1200.0,323.0,1354.6,385.5,198.0,187.5,1.193498452012384,0.6130030959752322,-62.5,0.715,4.35,3.95,4.65,4,2,2,True,False
lot,AGRI/B → INFRA/B,FIRE+ENV+INFRA+TRANS,AABB,50.0,5.0,57.399999999999864,9.5,1190.0,318.0,1346.3999999999999,380.0,210.0,170.0,1.1949685534591195,0.660377358490566,-62.0,0.7225,4.4,4.025,4.625,4,2,2,True,False
mode,AGRI: режим B → A,FIRE+ENV+AGRI+TRANS,AAAB,13.0,3.75,41.40000000000009,-48.0,1153.0,316.75,1330.4,322.5,196.0,126.5,1.0181531176006313,0.6187845303867403,-5.75,0.73,4.525,4.05,4.675,4,2,3,True,True
lot,FIRE/A → FLOOD/A,FLOOD+ENV+AGRI+TRANS,AABB,21.0,5.25,40.0,12.5,1161.0,318.25,1329.0,383.0,200.0,183.0,1.2034564021995287,0.6284367635506677,-64.75,0.715,4.45,4.225,4.6,4,2,2,True,True
mode,TRANS: режим B → A,FIRE+ENV+AGRI+TRANS,AABA,12.5,3.5,39.59999999999991,-33.75,1152.5,316.5,1328.6,336.75,199.0,137.75,1.0639810426540284,0.6287519747235387,-20.25,0.73,4.525,4.05,4.675,4,2,3,True,True
lot,TRANS/B → SSA/C,FIRE+ENV+AGRI+SSA,AABC,73.40000000000009,20.25,30.40000000000009,21.75,1213.4,333.25,1319.4,392.25,183.25,209.0,1.1770442610652663,0.5498874718679669,-59.0,0.6975,4.225,3.725,4.725,3,3,2,True,False
lot,AGRI/B → SSA/C,FIRE+ENV+SSA+TRANS,AACB,63.40000000000009,15.25,22.200000000000045,16.25,1203.4,328.25,1311.2,386.75,195.25,191.5,1.1782178217821782,0.5948210205635949,-58.5,0.7050000000000001,4.275,3.8000000000000003,4.7,3,3,2,True,False
lot,TRANS/B → INFRA/C,FIRE+ENV+AGRI+INFRA,AABC,53.799999999999955,6.0,5.599999999999909,22.0,1193.8,319.0,1294.6,392.5,178.75,213.75,1.2304075235109717,0.5603448275862069,-73.5,0.715,4.35,3.95,4.65,4,2,2,True,False
lot,AGRI/B → INFRA/C,FIRE+ENV+INFRA+TRANS,AACB,43.799999999999955,1.0,-2.599999999999909,16.5,1183.8,314.0,1286.4,387.0,190.75,196.25,1.232484076433121,0.607484076433121,-73.0,0.7225,4.4,4.025,4.625,4,2,2,True,False
lot,ENV/A → SSA/A,FIRE+SSA+AGRI+TRANS,AABB,52.5,21.0,-20.0,13.75,1192.5,334.0,1269.0,384.25,200.0,184.25,1.1504491017964071,0.5988023952095808,-50.25,0.7075,4.325,3.775,4.725,3,3,2,True,False
mode,TRANS: режим B → C,FIRE+ENV+AGRI+TRANS,AABC,-5.0,-3.5,-44.0,8.0,1135.0,309.5,1245.0,378.5,174.25,204.25,1.2229402261712439,0.5630048465266559,-69.0,0.73,4.525,4.05,4.675,4,2,2,True,True
mode,AGRI: режим B → C,FIRE+ENV+AGRI+TRANS,AACB,-5.2000000000000455,-3.75,-46.0,19.5,1134.8,309.25,1243.0,390.0,179.5,210.5,1.2611156022635408,0.5804365400161682,-80.75,0.73,4.525,4.05,4.675,4,2,2,True,True
lot,ENV/A → INFRA/A,FIRE+INFRA+AGRI+TRANS,AABB,31.5,5.25,-60.0,5.0,1171.5,318.25,1229.0,375.5,190.0,185.5,1.1798900235663787,0.5970149253731343,-57.25,0.725,4.449999999999999,4.0,4.65,4,2,2,True,True
lot,FIRE/A → SSA/A,SSA+ENV+AGRI+TRANS,AABB,10.5,10.5,-220.0,6.25,1150.5,323.5,1069.0,376.75,180.0,196.75,1.1646058732612055,0.5564142194744977,-53.25,0.72,4.35,3.95,4.775,3,3,2,True,True
